id_joueur,nom_joueur,position,nationalite,id_equipe
133,Aaron Anselmino,DF,ar ARG,18
462,Aaron Cresswell,DF,eng ENG,55
341,Aaron Hickey,"DF,MF",sct SCO,11
668,Aaron Ramsdale,GK,eng ENG,45
66,Aaron Ramsdale,GK,eng ENG,3
446,Aaron Wan-Bissaka,DF,cd COD,55
414,Abdoulaye Doucouré,MF,ml MLI,24
90,Abdukodir Khusanov,DF,uz UZB,32
613,Abdul Fatawu Issahaku,FW,gh GHA,28
678,Adam Armstrong,"FW,MF",eng ENG,45
686,Adam Lallana,MF,eng ENG,45
284,Adam Smith,DF,eng ENG,10
245,Adam Webster,DF,eng ENG,12
384,Adam Wharton,MF,eng ENG,22
356,Adama Traoré,"FW,MF",es ESP,26
693,Albert Grønbaek,"FW,MF",dk DEN,45
479,Alejandro Garnacho,"MF,FW",ar ARG,33
347,Alex Iwobi,"FW,MF",ng NGA,26
685,Alex McCarthy,GK,eng ENG,45
164,Alex Murphy,DF,ie IRL,36
642,Alex Palmer,GK,eng ENG,27
287,Alex Scott,MF,eng ENG,10
141,Alexander Isak,FW,se SWE,36
4,Alexis Mac Allister,MF,ar ARG,30
585,Alfie Devine,MF,eng ENG,50
581,Alfie Dorrington,DF,eng ENG,50
545,Alfie Pond,DF,eng ENG,57
590,Alfie Whiteman,GK,eng ENG,50
659,Ali Al Hamadi,FW,iq IRQ,27
8,Alisson,GK,br BRA,30
452,Alphonse Areola,GK,fr FRA,55
494,Altay Bayındır,GK,tr TUR,33
482,Amad Diallo,"MF,FW",ci CIV,33
179,Amadou Onana,MF,be BEL,4
28,Amara Nallo,DF,eng ENG,30
354,Andreas Pereira,MF,br BRA,26
229,Andrew Omobamidele,DF,ie IRL,38
7,Andrew Robertson,DF,sct SCO,30
518,André,MF,br BRA,57
475,André Onana,GK,cm CMR,33
188,Andrés García,"DF,MF",es ESP,4
467,Andy Irving,MF,sct SCO,55
210,Anthony Elanga,"FW,MF",se SWE,38
148,Anthony Gordon,"FW,MF",eng ENG,36
273,Antoine Semenyo,FW,gh GHA,10
346,Antonee Robinson,DF,us USA,26
503,Antony,"DF,MF",br BRA,33
574,Antonín Kinský,GK,cz CZE,50
563,Archie Gray,"DF,MF",eng ENG,50
305,Archie Harris,DF,wls WAL,10
638,Arijanet Muric,GK,xk KVX,27
429,Armando Broja,FW,al ALB,24
692,Armel Bella Kotchap,DF,de GER,45
401,Asher Agbinone,MF,eng ENG,22
418,Ashley Young,DF,eng ENG,24
437,Asmir Begović,GK,ba BIH,24
122,Axel Disasi,DF,fr FRA,18
186,Axel Disasi,DF,fr FRA,4
637,Axel Tuanzebe,DF,cd COD,27
498,Ayden Heaven,DF,eng ENG,33
57,Ayden Heaven,DF,eng ENG,3
230,Bart Verbruggen,GK,nl NED,12
550,Bastien Meupiyou,DF,fr FRA,57
687,Ben Brereton,FW,cl CHI,45
391,Ben Chilwell,DF,eng ENG,22
566,Ben Davies,DF,wls WAL,50
658,Ben Godfrey,DF,eng ENG,27
640,Ben Johnson,"DF,FW",eng ENG,27
327,Ben Mee,DF,eng ENG,11
43,Ben White,DF,eng ENG,3
297,Ben Winterburn,"MF,FW",eng ENG,10
338,Benjamin Arthur,DF,eng ENG,11
197,Benjamin Broggio,FW,eng ENG,4
340,Benjamin Fredrick,DF,ng NGA,11
628,Benjamin Nelson,DF,eng ENG,28
124,Benoît Badiashile,DF,fr FRA,18
70,Bernardo Silva,"MF,FW",pt POR,32
345,Bernd Leno,GK,de GER,26
422,Beto,FW,gw GNB,24
598,Bilal El Khannouss,"MF,FW",ma MAR,28
257,Billy Gilmour,MF,sct SCO,12
611,Bobby De Cordova-Reid,FW,jm JAM,28
178,Boubacar Kamara,MF,fr FRA,4
546,Boubacar Traoré,MF,ml MLI,57
599,Boubakary Soumaré,MF,fr FRA,28
249,Brajan Gruda,"MF,FW",de GER,12
579,Brandon Austin,GK,eng ENG,50
55,Brayden Clarke,DF,wls WAL,3
555,Brennan Johnson,FW,wls WAL,50
474,Bruno Fernandes,MF,pt POR,33
139,Bruno Guimarães,MF,br BRA,36
311,Bryan Mbeumo,FW,cm CMR,11
40,Bukayo Saka,"FW,MF",eng ENG,3
400,Caleb Kporha,DF,eng ENG,22
607,Caleb Okoli,DF,it ITA,28
307,Callan Mckenna,GK,sct SCO,10
436,Callum Bates,MF,eng ENG,24
212,Callum Hudson-Odoi,"FW,MF",eng ENG,38
589,Callum Olusesi,MF,eng ENG,50
157,Callum Wilson,FW,eng ENG,36
348,Calvin Bassey,DF,ng NGA,26
679,Cameron Archer,FW,eng ENG,45
639,Cameron Burgess,DF,au AUS,27
14,Caoimhín Kelleher,GK,ie IRL,30
267,Carl Rushworth,GK,eng ENG,12
700,Carlos Alcaraz,MF,ar ARG,45
427,Carlos Alcaraz,"FW,MF",ar ARG,24
232,Carlos Baleba,MF,cm CMR,12
538,Carlos Forbs,"MF,FW",pt POR,57
228,Carlos Miguel,GK,br BRA,38
457,Carlos Soler,"MF,FW",es ESP,55
369,Carlos Vinícius,"MF,FW",br BRA,26
486,Casemiro,MF,br BRA,33
136,Cesare Casadei,MF,it ITA,18
395,Chadi Riad,DF,ma MAR,22
271,Charlie Tasker,DF,eng ENG,12
690,Charlie Taylor,DF,eng ENG,45
390,Cheick Doucouré,MF,ml MLI,22
501,Chidozie Obi-Martin,FW,dk DEN,33
656,Chiedozie Ogbene,FW,ie IRL,27
542,Chiquinho,MF,pt POR,57
383,Chris Richards,DF,us USA,22
207,Chris Wood,FW,nz NZL,38
490,Christian Eriksen,MF,dk DEN,33
316,Christian Nørgaard,MF,dk DEN,11
650,Christian Walton,GK,eng ENG,27
120,Christopher Nkunku,FW,fr FRA,18
663,Cieran Slicker,GK,sct SCO,27
96,Claudio Echeverri,FW,ar ARG,32
438,Coby Ebere,MF,de GER,24
11,Cody Gakpo,FW,nl NED,30
105,Cole Palmer,"MF,FW",eng ENG,18
17,Conor Bradley,DF,nir NIR,30
648,Conor Chaplin,"MF,FW",eng ENG,27
600,Conor Coady,DF,eng ENG,28
655,Conor Townsend,DF,eng ENG,27
530,Craig Dawson,DF,eng ENG,57
564,Cristian Romero,DF,ar ARG,50
463,Crysencio Summerville,"FW,MF",nl NED,55
12,Curtis Jones,"MF,DF",eng ENG,30
385,Daichi Kamada,MF,jp JPN,22
140,Dan Burn,DF,eng ENG,36
580,Dane Scarlett,"FW,MF",eng ENG,50
281,Dango Ouattara,FW,bf BFA,10
301,Daniel Adu-Adjei,FW,eng ENG,10
537,Daniel Bentley,GK,eng ENG,57
627,Daniel Iversen,GK,dk DEN,28
296,Daniel Jebbison,FW,ca CAN,10
374,Daniel Muñoz,DF,co COL,22
541,Daniel Podence,"MF,FW",pt POR,57
220,Danilo,"MF,FW",br BRA,38
466,Danny Ings,"FW,MF",eng ENG,55
615,Danny Ward,GK,wls WAL,28
235,Danny Welbeck,FW,eng ENG,12
584,Dante Cassanova,DF,jm JAM,50
630,Dara O'Shea,DF,ie IRL,27
16,Darwin Núñez,FW,uy URU,30
286,David Brooks,"FW,MF",wls WAL,10
30,David Raya,GK,es ESP,3
373,Dean Henderson,GK,eng ENG,22
280,Dean Huijsen,DF,es ESP,10
32,Declan Rice,MF,eng ENG,3
553,Dejan Kulusevski,"MF,FW",se SWE,50
512,Dermot Mee,GK,nir NIR,33
558,Destiny Udogie,DF,it ITA,50
185,Diego Carlos,DF,br BRA,4
251,Diego Gómez,MF,py PAR,12
477,Diogo Dalot,DF,pt POR,33
13,Diogo Jota,FW,pt POR,30
94,Divin Mubama,FW,eng ENG,32
562,Djed Spence,DF,eng ENG,50
419,Dominic Calvert-Lewin,FW,eng ENG,24
308,Dominic Sadi,MF,eng ENG,10
554,Dominic Solanke,FW,eng ENG,50
6,Dominik Szoboszlai,MF,hu HUN,30
193,Donyell Malen,FW,nl NED,4
423,Dwight McNeil,"MF,FW",eng ENG,24
379,Eberechi Eze,"MF,FW",eng ENG,22
63,Eddie Nketiah,FW,eng ENG,3
387,Eddie Nketiah,"FW,MF",eng ENG,22
71,Ederson,GK,br BRA,32
330,Edmond-Paris Maghoma,"MF,FW",eng ENG,11
455,Edson Álvarez,MF,mx MEX,55
258,Eiran Cashin,DF,ie IRL,12
209,Elliot Anderson,MF,eng ENG,38
508,Elyh Harrison,GK,eng ENG,33
451,Emerson Palmieri,DF,it ITA,55
196,Emi Buendía,"MF,FW",ar ARG,4
158,Emil Krafth,DF,se SWE,36
353,Emile Smith Rowe,MF,eng ENG,26
169,Emiliano Martínez,GK,ar ARG,4
526,Emmanuel Agbadou,DF,ci CIV,57
291,Enes Ünal,"FW,MF",tr TUR,10
108,Enzo Fernández,MF,ar ARG,18
225,Eric da Silva Moreira,"MF,DF",de GER,38
69,Erling Haaland,FW,no NOR,32
45,Ethan Nwaneri,"FW,MF",eng ENG,3
320,Ethan Pinnock,DF,jm JAM,11
514,Ethan Wheatley,FW,eng ENG,33
254,Evan Ferguson,FW,ie IRL,12
468,Evan Ferguson,FW,ie IRL,55
278,Evanilson,FW,br BRA,10
473,Ezra Mayers,DF,bb BRB,55
172,Ezri Konsa,DF,eng ENG,4
142,Fabian Schär,DF,ch SUI,36
326,Fabio Carvalho,"FW,MF",pt POR,11
605,Facundo Buonanotte,"FW,MF",ar ARG,28
22,Federico Chiesa,FW,it ITA,30
250,Ferdi Kadioglu,"DF,MF",tr TUR,12
121,Filip Jørgensen,GK,dk DEN,18
670,Flynn Downes,MF,eng ENG,45
409,Franco Umeh-Chibueze,MF,ie IRL,22
334,Frank Onyeka,MF,ng NGA,11
573,Fraser Forster,GK,eng ENG,50
269,Freddie Simmonds,DF,eng ENG,12
49,Gabriel Jesus,FW,br BRA,3
35,Gabriel Magalhães,DF,br BRA,3
38,Gabriel Martinelli,"FW,MF",br BRA,3
134,Genesis Antwi,MF,se SWE,18
661,George Edmundson,DF,eng ENG,27
651,George Hirst,FW,sct SCO,27
242,Georginio Rutter,"MF,FW",fr FRA,12
511,Godwill Kukonki,DF,eng ENG,33
529,Gonçalo Guedes,"MF,FW",pt POR,57
556,Guglielmo Vicario,GK,it ITA,50
456,Guido Rodríguez,MF,ar ARG,55
335,Gustavo Nunes,"FW,MF",br BRA,11
306,Hamed Junior Traorè,"FW,MF",ci CIV,10
616,Hamza Choudhury,"MF,DF",bd BAN,28
433,Harrison Armstrong,MF,eng ENG,24
367,Harrison Reed,MF,eng ENG,26
496,Harry Amass,DF,eng ENG,33
654,Harry Clarke,DF,eng ENG,27
261,Harry Howell,FW,eng ENG,12
484,Harry Maguire,DF,eng ENG,33
224,Harry Toffolo,DF,eng ENG,38
359,Harry Wilson,"FW,MF",wls WAL,26
602,Harry Winks,MF,eng ENG,28
150,Harvey Barnes,FW,eng ENG,36
25,Harvey Davies,GK,eng ENG,30
20,Harvey Elliott,MF,eng ENG,30
626,Henry Cartwright,MF,eng ENG,28
507,Hubert Graczyk,GK,pl POL,33
534,Hwang Hee-chan,"MF,FW",kr KOR,57
329,Hákon Valdimarsson,GK,is ISL,11
183,Ian Maatsen,DF,nl NED,4
216,Ibrahim Sangaré,MF,ci CIV,38
5,Ibrahima Konaté,DF,fr FRA,30
412,Idrissa Gana Gueye,MF,sn SEN,24
247,Igor,DF,br BRA,12
415,Iliman Ndiaye,FW,sn SEN,24
274,Illia Zabarnyi,DF,ua UKR,10
268,Imari Samuels,DF,eng ENG,12
439,Isaac Heath,MF,eng ENG,24
138,Ishé Samuels-Smith,DF,eng ENG,18
380,Ismaila Sarr,MF,sn SEN,22
59,Ismeal Kabia,MF,eng ENG,3
358,Issa Diop,DF,fr FRA,26
101,Issa Kaboré,"DF,MF",bf BFA,32
342,Iwan Morgan,FW,wls WAL,11
645,Jack Clarke,"FW,MF",eng ENG,27
506,Jack Fletcher,MF,eng ENG,33
87,Jack Grealish,"FW,MF",eng ENG,32
417,Jack Harrison,FW,eng ENG,24
58,Jack Henry-Francis,MF,ie IRL,3
239,Jack Hinshelwood,"MF,DF",eng ENG,12
513,Jack Moorhouse,MF,eng ENG,33
65,Jack Porter,GK,eng ENG,3
676,Jack Stephens,DF,eng ENG,45
653,Jack Taylor,MF,ie IRL,27
635,Jacob Greaves,DF,eng ENG,27
144,Jacob Murphy,FW,eng ENG,36
180,Jacob Ramsey,"FW,MF",eng ENG,4
270,Jacob Slater,DF,ie IRL,12
103,Jacob Wright,MF,eng ENG,32
192,Jaden Philogene Bidace,"FW,MF",eng ENG,4
652,Jaden Philogene Bidace,"FW,DF",eng ENG,27
114,Jadon Sancho,FW,eng ENG,18
92,Jahmai Simpson-Pusey,DF,eng ENG,32
303,Jaidon Anthony,"FW,MF",eng ENG,10
620,Jake Evans,FW,Inconnu,28
421,Jake O'Brien,DF,ie IRL,24
46,Jakub Kiwior,DF,pl POL,3
259,Jakub Moder,MF,pl POL,12
609,Jakub Stolarczyk,GK,pl POL,28
163,Jamaal Lascelles,DF,eng ENG,36
199,Jamaldeen Jimoh,MF,eng ENG,4
680,James Bree,DF,eng ENG,45
420,James Garner,"MF,DF",eng ENG,24
289,James Hill,DF,eng ENG,10
593,James Justin,DF,eng ENG,28
560,James Maddison,MF,eng ENG,50
26,James McConnell,MF,eng ENG,30
91,James Mcatee,"MF,FW",eng ENG,32
252,James Milner,MF,eng ENG,12
413,James Tarkowski,DF,eng ENG,24
459,James Ward-Prowse,MF,eng ENG,55
219,James Ward-Prowse,MF,eng ENG,38
592,Jamie Vardy,FW,eng ENG,28
669,Jan Bednarek,DF,pl POL,45
231,Jan Paul van Hecke,DF,nl NED,12
604,Jannik Vestergaard,DF,dk DEN,28
19,Jarell Quansah,DF,eng ENG,30
416,Jarrad Branthwaite,DF,eng ENG,24
447,Jarrod Bowen,"FW,MF",eng ENG,55
255,Jason Steele,GK,eng ENG,12
694,Jay Robinson,"MF,FW",eng ENG,45
370,Jay Stansfield,MF,eng ENG,26
505,Jayce Fitzgerald,MF,eng ENG,33
24,Jayden Danns,MF,eng ENG,30
336,Jayden Meghoma,DF,eng ENG,11
701,Jayden Moore,DF,Inconnu,45
454,Jean-Clair Todibo,DF,fr FRA,55
378,Jean-Philippe Mateta,FW,fr FRA,22
524,Jean-Ricner Bellegarde,"MF,FW",ht HAI,57
381,Jefferson Lerma,"MF,DF",co COL,22
397,Jeffrey Schlupp,"MF,DF",gh GHA,22
636,Jens Cajuste,MF,se SWE,27
441,Jenson Metcalfe,MF,eng ENG,24
81,Jeremy Doku,"FW,MF",be BEL,32
618,Jeremy Monga,"FW,MF",Inconnu,28
260,Jeremy Sarmiento,MF,ec ECU,12
424,Jesper Lindstrøm,FW,dk DEN,24
56,Jimi Gower,MF,eng ENG,3
394,Joachim Andersen,DF,dk DEN,22
350,Joachim Andersen,DF,dk DEN,26
698,Joachim Kayi Sanda,DF,fr FRA,45
671,Joe Aribo,"MF,DF",ng NGA,45
198,Joe Gauci,GK,au AUS,4
18,Joe Gomez,DF,eng ENG,30
264,Joe Knight,MF,eng ENG,12
691,Joe Lumley,GK,eng ENG,45
702,Joe O'Brien-Whitmarsh,MF,ie IRL,45
152,Joe Willock,"MF,FW",eng ENG,36
396,Joel Ward,DF,eng ENG,22
145,Joelinton,"MF,FW",br BRA,36
175,John McGinn,"MF,FW",sct SCO,4
166,John Ruddy,GK,eng ENG,36
88,John Stones,"DF,MF",eng ENG,32
497,Jonny Evans,DF,nir NIR,33
399,Jordan Ayew,"FW,MF",gh GHA,22
601,Jordan Ayew,"FW,MF",gh GHA,28
410,Jordan Pickford,GK,eng ENG,24
363,Jorge Cuenca,DF,es ESP,26
47,Jorginho,MF,it ITA,3
62,Josh Nichols,DF,eng ENG,3
102,Josh Wilson-Esbrand,DF,eng ENG,32
126,Joshua Acheampong,DF,eng ENG,18
